k_numbers,imdrf_codes,count
K914090,A0401,1
K914090,A0501,2
K914090,A040103,1
K160254,A0101,9
K160254,A01,2
K160254,A26,1
K160254,E2401,1
K160254,F24,1
K160254,A23,6
K160254,A17,1
K160254,,2
K160254,A24,4
K160254,A2303,1
K102948,A24,20
K102948,A180104,2
K102948,A27,1
K102948,F28,1
K102948,A0502,1
K981677,A24,4
K150186,,8
K150186,A0504,1
K150186,A0401,3
K150186,A180104,1
K150186,A150207,4
K150186,A0501,2
K150186,A24,1
K142940,A26,1
K142940,E2401,1
K142940,F24,1
K042121,A090201,136
K042121,A05,56
K042121,,28
K042121,A160106,27
K042121,A1403,14
K042121,A1402,14
K042121,A0705,14
K042121,A040611,14
K042121,A26,13
K042121,E2401,13
K042121,F24,13
K013896,,5
K040899,,4
K040899,A090201,1
K901449,A180104,6
K901449,A030202,6
K901449,A0504,6
K901449,A0401,6
K901449,A140303,6
K991702,,160
K991702,A0504,32
K991702,A020102,8
K991702,A030202,32
K991702,A2101,24
K991702,A180104,8
K013971,A140303,90
K013971,A140302,129
K013971,A180104,18
K013971,A030202,7
K013971,,23
K013971,A2101,10
K013971,A020602,3
K013971,A0504,23
K013971,A1904,1
K013971,A020701,1
K013971,A150206,2
K013971,A2303,1
K013971,A0401,1
K030573,A150102,42
K030573,A0504,93
K030573,A0201,21
K030573,A140304,3
K030573,A0411,3
K030573,A140303,3
K030573,A0205,3
K030573,A2101,6
K932661,,3
K932661,A090810,3
K952516,A2304,17
K031987,A090201,15
K971239,A030202,1
K991088,,1
K041071,A180104,2
K041071,A0504,5
K041071,,5
K931368,A0504,1
K121864,A020102,1
BK050036,A140303,1
BK050036,A0504,1
K983952,A0501,1
K994277,A0401,2
K111268,A090809,21
K111268,,126
K111268,A26,6
K111268,E2401,6
K111268,F24,6
K111268,A0902,19
K111268,A2303,3
K111268,A090201,7
K111268,A020503,7
K111268,A1402,1
K111268,A090810,1
K111268,A24,5
K111268,A090811,1
K111268,A090807,4
K111268,A0201,1
K111268,A0205,2
K111268,A110702,2
K111268,A1601,3
K111268,A1102,2
K111268,A09,1
K111268,A090404,1
K111268,A020102,1
K994278,A0401,1
K865060,,5
K865060,A030205,1
K982838,,4
K982838,A141102,1
K910425,A1407,2
K141789,A140501,7
K141789,,180
K141789,A030205,12
K141789,A041001,4
K141789,A1203,2
K141789,A0504,2
K141789,A140901,2
K141789,A26,2
K141789,E2401,2
K141789,F24,2
K141789,A180104,1
K012383,A140802,7
K023264,A27,3
K023264,F28,3
K870524,A0504,1
K032233,A1407,3
K933652,A141204,1
K110825,A0713,10
K110825,A13,6
K021453,,5
K943698,A090201,7
K033275,A090103,3
K033275,A070803,2
K033275,A071302,1
K033275,A0708,1
K033275,,1
K042007,A090201,3
K111693,A26,1
K111693,E2401,1
K111693,F24,1
K111693,A0709,1
K002280,A070908,4
K072233,A070908,2
K011144,A070803,5
K014209,A0704,3
K142803,A24,2
K142803,A26,4
K142803,E2401,4
K142803,F24,4
K142803,A1208,4
K142803,A0709,5
K142803,A0203,2
K142430,,5
K142430,A070601,3
K142430,A23,6
K142430,A070803,2
K142430,A070603,1
K122600,A070503,1
K052465,A090201,2
K052465,A070803,2
K112432,,1
K033771,A0301,1
K062700,A23,3
K073089,A0709,1
K981284,A040609,2
K981284,A051101,2
K964161,A23,4
K964161,,4
K964161,A0406,2
K964161,A0104,2
K132175,A24,1
K132175,A0402,1
K132175,A27,1
K132175,F28,1
K132175,A26,1
K132175,E2401,1
K132175,F24,1
K022880,A0404,13
K022880,A150201,3
K022880,,6
K022880,A050502,2
K022880,A0511,1
K022880,A2201,1
K022880,A051104,1
K022880,A1203,1
K131561,A0401,3
K012445,A0401,4
K012445,,1
K130368,,2
K150091,A0405,2
K150091,A24,6
K021736,A0203,9
K021736,A150208,1
K071957,A24,19
K071957,,26
K071957,A0510,1
K050311,A1801,4
K050311,A26,34
K050311,E2401,34
K050311,F24,34
K050311,A180105,2
K050311,,26
K050311,A24,16
K050311,A0406,4
K050311,A150207,2
K050311,A150208,4
K050311,A180104,2
K050311,A2303,2
K050311,A010103,2
K050311,A0203,2
K050311,A040101,2
K050311,A0104,2
K063091,A04,3
K063091,A26,3
K063091,E2401,3
K063091,F24,3
K063091,A24,3
K063091,,3
K063091,A27,3
K063091,F28,3
K052155,A0203,2
K103568,A0101,1
K103568,A24,3
K103568,A1801,1
K142908,A24,11
K142908,A26,1
K142908,E2401,1
K142908,F24,1
K142908,,2
K142908,A1409,1
K081126,,8
K081126,A040102,1
K081126,A24,2
K915526,A26,4
K915526,E2401,4
K915526,F24,4
K915526,A040503,1
K915526,A0104,1
K915526,A24,3
K915526,A0405,1
K101928,A0203,4
K100076,A26,10
K100076,E2401,10
K100076,F24,10
K100076,A24,3
K100076,,3
K100076,A1801,1
K100076,A0104,1
K100076,A150208,1
K100076,A1502,1
K100076,A0101,1
K100076,A051201,1
K090909,A26,13
K090909,E2401,13
K090909,F24,13
K090909,A1801,1
K090909,A24,5
K090909,,3
K002028,,121
K002028,A150201,15
K002028,A150301,15
K002028,A26,11
K002028,E2401,11
K002028,F24,11
K002028,A0401,3
K915265,A12,8
K915265,A0504,3
K082536,A0413,54
K082536,A040607,6
K082536,A040506,48
K082536,A18,6
K082536,A040101,6
K082536,A0203,6
K082536,A040505,6
K133456,A0401,4
K133456,A12,1
K133456,,3
K133456,A0406,1
K980302,A040103,2
K980302,A070302,2
K980302,A150301,1
K980302,A04,1
K980302,A1005,1
K980302,,1
K060076,A0413,10
K060076,A0909,2
K060076,A020602,4
K060076,A051204,2
K060076,,2
K980196,A020503,4
K980196,A0401,4
K980196,,12
K982401,A26,1
K982401,E2401,1
K982401,F24,1
K152989,,10
K152989,A090802,2
K152989,A051201,1
K133948,A150104,10
K133948,A150207,1
K133948,A141401,2
K133948,,2
K133948,A0401,1
K133948,A24,2
K980226,,3
K150169,A150207,1
K110303,A150207,1
K081111,A24,56
K081111,A040101,7
K081111,A051207,7
K081111,A0104,7
K161520,A010103,6
K161520,A24,135
K161520,A2303,3
K161520,A010202,6
K161520,A040101,3
K161520,A1205,3
K161520,A051204,9
K161520,,15
K161520,A040102,3
K120992,A26,6
K120992,E2401,6
K120992,F24,6
K120992,,30
K120992,A0501,6
K120992,A27,6
K120992,F28,6
K120992,A051207,6
K120992,A24,24
K120992,A0204,6
K120992,A1803,6
K120992,A040101,6
K120992,A0401,6
K130299,A27,1
K130299,F28,1
K070978,A040101,1
K140898,A24,14
K140898,A040101,3
K140898,,1
K140898,A26,1
K140898,E2401,1
K140898,F24,1
K140898,A0104,1
K140898,A210104,1
K140898,A040507,1
K140898,A05,1
K140898,A051201,1
K140898,A010202,1
K133152,A26,7
K133152,E2401,7
K133152,F24,7
K133152,A24,30
K133152,A040101,8
K133152,,3
K133152,A0907,1
K133152,A0401,1
K133152,A0512,1
K133152,A020503,1
K133152,A05,4
K133152,A0506,1
K133152,A0205,1
K133152,A010103,1
K133152,A23,1
K133152,A010202,1
K133152,A1205,1
K092138,A05,1
K092138,A24,9
K092138,A26,3
K092138,E2401,3
K092138,F24,3
K092138,A1702,2
K092138,A020602,1
K102764,A1204,18
K102764,A27,1
K102764,F28,1
K102764,A150301,16
K122842,A26,3
K122842,E2401,3
K122842,F24,3
K121613,A0504,26
K121613,,55
K121613,A1407,1
K121613,A180103,1
K121613,A12,1
K121613,A0404,4
K121613,A1801,1
K121613,A140802,1
K121613,A1203,1
K121613,A040103,1
K121613,A2305,1
K121613,A0201,1
K121613,A180104,1
K001725,,2
K001725,A0713,3
K001725,A191002,1
K001725,A090406,1
K001725,A0707,1
K001725,A17,1
K001725,A1405,1
K041067,A070803,4
K041067,A0713,1
K041067,A05,1
K041067,,1
K041067,A150104,1
K780456,A040610,1
K955805,A140304,1
K162901,A0401,2
K162901,A24,1
K132641,A24,9
K143077,A0401,3
K113778,A0401,3
K113778,A020602,3
K120961,A24,2
K120961,A150207,1
K120961,,1
K120961,A0510,1
K082034,A26,12
K082034,E2401,12
K082034,F24,12
K082034,A24,5
K082034,A0401,3
K082034,A2303,1
K082034,A150207,1
K082034,A150206,1
K172167,A040101,5
K172167,A24,1
K123975,A0404,5
K162330,A040104,2
K141598,A090206,8
K141598,A07,1
K141598,A0506,1
K091436,,2
K102012,,3
K102012,A0902,1
K102012,A0907,1
K150666,A150208,1
K150666,A0413,1
K063100,A0401,3
K030691,A0401,23
K030691,A150206,1
K030691,A24,10
K030691,A150301,1
K030691,,4
K030691,A040103,1
K030691,A0101,2
K030691,A020602,4
K030691,A12,1
K030691,A150208,2
K030691,A051201,1
K030691,A0509,1
K030691,A090406,1
K030691,A150207,1
K030691,A0501,1
K030691,A180104,1
K030691,A180105,1
K141632,A0104,2
K141632,A0401,4
K141632,A150207,1
K141632,A010103,1
K141632,A051201,1
K141632,A24,1
K102820,,11
K102820,A150208,1
K102820,A0401,1
K102820,A05,2
K102820,A1208,1
K102820,A010103,1
K102820,A040103,2
K102820,A1205,1
K102820,A0104,1
K073708,A0411,3
K141993,,1
K141993,A0104,1
K003836,A24,11
K120836,A0201,3
K120836,A180104,1
K120836,A020503,2
K120836,A1802,1
K142620,,1
K111034,A180105,2
K111034,A26,2
K111034,E2401,2
K111034,F24,2
K161552,A0504,136
K161552,A180104,12
K161552,A140303,2
K161552,A0401,14
K161552,A2101,2
K161552,A1904,2
K161552,A140304,2
K091816,A150101,9
K091816,A020602,9
K091816,A0104,27
K091816,,27
K091816,A0401,63
K091816,A150205,27
K091816,A2101,9
K091816,A140902,18
K091816,A24,9
K091816,A0408,9
K091816,A27,36
K091816,F28,36
K091816,A110702,9
K150143,A27,9
K150143,F28,9
K981791,A090810,2
K981791,A090809,1
K981791,,1
K123908,A27,4
K123908,F28,4
K123908,A26,6
K123908,E2401,6
K123908,F24,6
K123908,A24,5
K123908,A020102,3
K972278,A23,1
K972278,A2303,1
K972278,A26,1
K972278,E2401,1
K972278,F24,1
K091626,A0413,2
K091626,A04,2
K091626,A0404,2
K091626,A24,4
K091626,A27,2
K091626,F28,2
K101866,A04,1
K983602,A26,6
K983602,E2401,6
K983602,F24,6
K983602,,4
K955349,A040605,1
K955349,,3
K955349,A26,1
K955349,E2401,1
K955349,F24,1
K071117,A051201,1
K102969,,34
K980987,A1406,2
K980987,,4
K980987,A180104,128
K980987,A0504,183
K980987,A1904,3
K980987,A2101,23
K980987,A140901,2
K980987,A140304,49
K980987,A0205,20
K980987,A0411,4
K980987,A0401,9
K980987,A0101,1
K980987,A020701,5
K980987,A24,2
K980987,A210102,3
K980987,A141103,3
K980987,A18,1
K980987,A0510,1
K043261,A020102,10
K043261,,2
K043261,A1203,2
K043261,A0404,12
K981529,A24,2
K040212,A0401,13
K040212,A26,5
K040212,E2401,5
K040212,F24,5
K040212,,3
K040212,A040101,1
K040212,A24,4
K040212,A010103,3
K061019,A0406,1
K061019,A26,3
K061019,E2401,3
K061019,F24,3
K061019,A0401,3
K061019,A24,1
K023254,A150206,2
K023254,A150207,1
K023254,A0415,1
K062898,A051201,1
K112030,A051204,8
K112030,A1205,2
K112030,A0512,4
K112030,A24,1
K112030,A05,1
K112030,A0501,1
K991915,A24,1
K131845,A051207,3
K092721,A0401,1
K092721,,1
K092721,A040101,1
K161592,A24,6
K033363,A040101,2
K033363,A0401,1
K051212,A090805,99
K051212,A26,15
K051212,E2401,15
K051212,F24,15
K051212,A070911,51
K051212,,168
K051212,A1601,3
K051212,A0101,9
K051212,A0902,6
K051212,A0709,45
K051212,A090808,15
K051212,A090811,9
K051212,A160503,3
K051212,A0401,3
K051212,A071302,3
K051212,A1205,6
K051212,A24,6
K051212,A090204,3
K051212,A090201,3
K051212,A090807,6
K051212,A10,3
K051212,A040506,3
K051212,A0205,3
K090662,A070911,5
K090662,,1
K090662,A010103,1
K090662,A090805,1
K060295,A090810,6
K060295,A090809,7
K060295,A090807,1
K112345,A24,2
K092531,,1
K092531,A1701,1
K130825,A1205,1
K121060,A040605,4
K081770,,2
K090017,A090201,3
K090017,A090811,10
K090017,A0717,3
K090017,A072001,2
K163381,A090805,4
K163381,A0902,2
K960676,,1
K960676,A0703,1
K142838,A0401,5
K142838,A0501,1
K142838,A051204,2
K172194,A0404,2
K945670,A23,1
K945670,,1
K945670,A0401,1
K863734,A0401,2
K863734,A26,3
K863734,E2401,3
K863734,F24,3
K863734,,1
K863734,A24,1
K863734,A27,1
K863734,F28,1
K080779,A24,2
K110934,A0302,50
K110934,A24,7
K110934,,2
K110934,A090809,2
K110934,A020102,2
K090413,A090809,24
K090413,,233
K090413,A020503,6
K090413,A090810,6
K090413,A020102,24
K090413,A090807,6
K090413,A2303,6
K022309,A0401,6
K022309,A05,1
K080238,A090805,81
K080238,,27
K080238,A090807,3
K080238,A070911,3
K080238,A0902,1
K080238,A0709,3
K080238,A13,1
K932188,A0504,24
K780271,A0404,2
K780271,A0504,1
K780271,,1
K030497,A24,14
K053286,A0402,11
K053286,A050302,11
K053286,,44
K053286,A0412,77
K053286,A0504,11
K071387,A180105,2
K072908,A0504,2
K072908,A26,1
K072908,E2401,1
K072908,F24,1
K072908,A090201,1
K120832,A040101,4
K120832,A1801,1
K120832,A0104,1
K120832,A020502,2
K121914,A27,1
K121914,F28,1
K121914,A090805,7
K121914,A10,1
K121914,,2
K092400,A26,32
K092400,E2401,32
K092400,F24,32
K092400,A0411,2
K092400,A2303,6
K092400,,14
K092400,A24,8
K092400,A0401,15
K092400,A0504,2
K092400,A150206,3
K092400,A150208,2
K011342,,290
K011342,A0504,147
K011342,A090809,4
K011342,A0401,8
K011342,A0404,4
K011342,A090810,4
K061616,A0504,116
K061616,,146
K061616,A090404,4
K061616,A1403,4
K081930,A0504,180
K081930,,340
K081930,A090809,20
K081930,A090810,20
K081930,A140901,20
K120771,,20
K021462,A0907,4
K021462,,114
K021462,A0410,2
K021462,A041001,28
K021462,A1406,14
K021462,A040601,2
K021462,A020501,4
K021462,A090811,2
K021462,A1605,2
K021462,A0404,4
K021462,A0412,6
K021462,A140901,2
K021462,A160502,16
K021462,A150208,2
K021462,A150205,4
K021462,A0401,4
K021462,A150206,4
K021462,A150204,2
K021462,A040101,2
K021462,A090204,2
K021462,A040609,2
K021462,A14,2
K021462,A0413,2
K000729,,110
K000729,A150204,5
K000729,A040601,20
K000729,A1406,15
K000729,A040508,5
K000729,A13,5
K000729,A0401,15
K000729,A150205,20
K000729,A0412,10
K000729,A041001,10
K000729,A0501,5
K000729,A0504,5
K000729,A150207,5
K000729,A0404,5
K000729,A150206,10
K000729,A1409,5
K000729,A0406,5
K000729,A14,5
K000729,A040101,5
K981660,A0205,2
K981660,A150204,26
K981660,,44
K981660,A040508,2
K981660,A1406,30
K981660,A040601,2
K981660,A041001,18
K981660,A04,2
K981660,A150207,6
K981660,A150206,14
K981660,A150205,34
K981660,A0401,6
K981660,A1401,2
K981660,A140901,2
K981660,A1207,2
K981660,A0404,4
K981660,A0504,2
K981660,A071203,2
K981660,A14,2
K981660,A0406,2
K981660,A0412,2
K120868,A0504,2
K133074,,2
K041281,,6
K041281,A150206,1
K041281,A0504,1
K041281,A1406,3
K041281,A090201,2
K041281,A140507,1
K063525,A090201,4
K063525,A150206,4
K063525,A0504,2
K063525,A0412,2
K063525,A141204,2
K063525,A141203,2
K063525,,4
K063525,A0902,2
K103014,,2
K103014,A26,7
K103014,E2401,7
K103014,F24,7
K103014,A24,3
K131162,A24,97
K131162,A23,1
K131162,A27,1
K131162,F28,1
K131162,A2303,2
K131162,A26,6
K131162,E2401,6
K131162,F24,6
K131162,A0201,1
K131162,,1
K910318,,46
K910318,A150207,6
K910318,A1408,9
K910318,A1203,12
K910318,A1401,157
K910318,A1406,124
K910318,A0402,60
K910318,A0401,89
K910318,A0404,5
K910318,A140505,17
K910318,A1403,6
K910318,A0504,14
K910318,A150208,1
K910318,A140802,31
K910318,A140901,2
K910318,A141101,17
K910318,A040103,6
K910318,A150206,2
K910318,A14,1
K910318,A140902,4
K910318,A0204,1
K910318,A041001,6
K910318,A040609,5
K910318,A0101,1
K910318,A140508,1
K910318,A0406,2
K910318,A040602,1
K910318,A04,1
K910318,A2101,1
K910318,A1407,1
K910318,A0412,2
K910318,A2103,2
K910318,A040610,1
K910318,A040601,1
K910318,A0907,1
K910318,A140303,1
K910318,A2303,1
K910318,A18,2
K910318,A040101,2
K910318,A2301,1
K910318,A23,1
K033477,A24,2
K033477,A0101,1
K033477,,1
K040658,A020602,3
K040658,A040601,7
K040658,A140902,3
K040658,A0401,33
K040658,A0202,1
K040658,A051101,1
K040658,A0504,9
K040658,A1401,93
K040658,A1406,41
K040658,A0404,4
K040658,,29
K040658,A0402,22
K040658,A141101,34
K040658,A040610,2
K040658,A140802,24
K040658,A140505,8
K040658,A090805,2
K040658,A040101,3
K040658,A040103,6
K040658,A1405,1
K040658,A041001,4
K040658,A150207,13
K040658,A04,1
K040658,A1408,5
K040658,A26,1
K040658,E2401,1
K040658,F24,1
K040658,A1403,2
K040658,A140508,1
K040658,A1208,1
K040658,A2103,1
K040658,A150206,2
K040658,A040609,5
K040658,A1203,4
K040658,A0412,3
K040658,A2305,1
K040658,A010101,2
K040658,A0204,3
K040658,A0501,1
K040658,A0407,1
K040658,A140303,2
K040658,A0411,1
K040658,A150208,1
K040658,A140501,1
K040658,A040102,1
K040658,A23,1
K142539,A0504,210
K142539,A0404,2
K142539,A070908,7
K142539,A1205,1
K142539,A0401,2
K142539,A140901,1
K142539,A1203,1
K142539,,2
K142539,A020102,1
K142539,A0408,1
K142539,A140902,1
K142539,A1405,1
K142539,A140502,1
K142539,A14,1
K153688,A070903,1
K153688,,1
K181208,A0206,1
K082238,A24,1
K082238,A040103,2
K100526,A0401,2
K100526,A020102,12
K010765,A0504,17
K010765,,21
K010765,A0401,1
K010765,A090201,1
K010765,A140901,1
K063583,,11
K063583,A141401,11
K120912,A26,2
K120912,E2401,2
K120912,F24,2
K120912,A23,1
K021566,A140902,2
K021566,A010102,4
K021566,,2
K021566,A090201,2
K101285,A1601,1
K101285,A24,8
K101285,,19
K101285,A090201,7
K101285,A0708,2
K101285,A0401,3
K101285,A19,1
K101285,A050702,3
K101285,A06,2
K101285,A140802,2
K101285,A1801,2
K101285,A1006,1
K101285,A0504,1
K101285,A0301,1
K101285,A14,1
K101285,A1408,1
K101285,A160106,1
K101285,A070803,3
K101285,A0101,1
K101285,A26,2
K101285,E2401,2
K101285,F24,2
K101285,A1413,2
K101285,A1411,1
K101285,A140902,1
K101285,A141401,1
K101285,A150207,1
K101325,A050702,109
K101325,A24,1
K101325,A040505,1
K101325,A051201,3
K101325,A1203,3
K101325,A0401,2
K101325,A051208,2
K101325,,5
K101325,A140505,1
K101325,A0507,1
K101325,A0501,1
K822082,A041001,1
K822082,A0501,1
K131254,A141101,5
K790312,,64
K790312,A040601,4
K790312,A1406,16
K790312,A0504,44
K790312,A2101,4
K790312,A12,8
K790312,A0401,4
K110269,,1
K935189,A020503,1
K101490,A24,1
K032677,A0902,1
K101777,A150207,2
K101777,A0709,1
K101777,A0413,1
K101777,,1
K101777,A0406,1
K024247,A26,33
K024247,E2401,33
K024247,F24,33
K024247,A24,4
K050374,A24,3
K072144,A141203,80
K072144,,13
K123309,A04,4
K053025,,17
K053025,A1205,1
K053025,A0504,3
K053025,A2303,1
K053025,A0404,1
K053025,A0205,2
K053025,A0709,1
K053025,A140902,1
K053025,A0402,1
K053025,A051204,1
K080067,A020701,6
K121573,,3
K031199,,4
K050964,A040506,6
K053268,A0401,44
K053268,A040506,72
K011906,A040505,1
K011906,A040508,1
K883880,,1
K032899,,2
K032899,A0401,2
K101339,A040508,2
K180950,A23,16
K180950,A0504,52
K180950,A0501,4
K180950,A0202,4
K112360,,108
K112360,A0504,12
K112360,A1203,6
K112360,A141102,3
K112360,A0205,76
K112360,A160102,6
K112360,A14,4
K112360,A0404,3
K112360,A140901,3
K112360,A1411,4
K112360,A140801,3
K112360,A1408,2
K112360,A1405,1
K112360,A1409,1
K112360,A0303,1
K112360,A0401,1
K112360,A030202,1
K112360,A1407,2
K112360,A05,1
K082117,,243
K082117,A0404,23
K082117,A0504,73
K082117,A141102,3
K082117,A140508,3
K082117,A0204,3
K082117,A140902,3
K082117,A051204,3
K082117,A0401,12
K082117,A1404,6
K082117,A141101,6
K082117,A24,9
K082117,A0407,3
K082117,A090201,3
K082117,A26,4
K082117,E2401,4
K082117,F24,4
K082117,A0406,3
K082117,A030202,3
K082117,A0202,4
K082117,A1407,6
K082117,A140401,6
K082117,A1411,4
K082117,A1003,1
K090511,A0504,2
K090511,,32
K090511,A0906,2
K090511,A0404,4
K090511,A1004,2
K090689,,38
K090689,A180104,3
K090689,A0504,5
K093522,,3
K103191,,4
K103191,A1404,2
K142784,A030202,1
K132972,A24,1
K071494,A0906,12
K071494,A0504,84
K071494,A0204,72
K071494,A0202,12
K071494,A1001,12
K071494,A23,24
K071494,A020602,12
K071494,A0401,12
K071494,A030202,24
K071494,A051201,12
K071494,,48
K071494,A1405,12
K071494,A1411,24
K071494,A1205,12
K071494,A1203,12
K071494,A180104,24
K100278,A0504,2
K100278,,3
K100278,A140901,4
K100278,A141102,9
K100278,A140503,2
K100278,A141101,4
K100278,A140902,2
K102464,A0504,12
K102464,A0906,6
K102464,,42
K102464,A1407,3
K102464,A040103,3
K102464,A1404,3
K141432,A0504,18
K141432,,14
K141432,A020602,2
K141432,A0205,2
K150267,A0203,1
K101153,,250
K101153,A180104,3
K101153,A0404,5
K101153,A0504,30
K101153,A1404,6
K101153,A1408,3
K101153,A090201,2
K101153,A1203,3
K101153,A2303,2
K101153,A140503,1
K101153,A26,2
K101153,E2401,2
K101153,F24,2
K101153,A1405,7
K101153,A090805,1
K101153,A141102,5
K101153,A0203,3
K101153,A0507,1
K101153,A0401,1
K101153,A24,1
K101153,A030202,2
K101153,A25,1
K101153,A090206,3
K101153,A0407,1
K101153,A0202,1
K101153,A140901,1
K101153,A040101,3
K101153,A090811,3
K101153,A0205,1
K101153,A1411,1
K101153,A050403,1
K101153,A0902,1
K101153,A040102,1
K101153,A14,4
K101153,A1407,3
K101153,A1201,1
K101153,A140505,2
K101153,A090204,1
K101153,A0721,1
K123314,A140902,5
K123314,A140508,1
K132829,A141102,4
K132829,A140901,1
K132829,,23
K132829,A0504,6
K132829,A23,2
K132829,A140502,1
K132829,A141101,1
K132829,A1411,2
K132829,A1405,1
K132829,A0404,1
K132829,A24,1
K132829,A10,1
K062381,A051201,1
K062381,,3
K062381,A0906,1
K062381,A24,1
K101359,A0404,1
K970432,A0401,2
K925006,,6
K925006,A09,2
K945379,A150208,6
K945379,A040101,6
K945379,,10
K945379,A0501,8
K945379,A040508,2
K945379,A040506,2
K945379,A0401,2
K110133,A0402,11
K110133,A150207,5
K110133,A0401,24
K110133,A1401,2
K110133,A0412,12
K110133,A020503,4
K110133,A040101,3
K110133,A26,3
K110133,E2401,3
K110133,F24,3
K110133,A150204,3
K110133,A210101,2
K110133,A0413,3
K110133,A04,3
K014075,A140902,2
K063210,A040103,1
K063210,,1
K063210,A2303,1
K063210,A24,1
K011968,A180104,2
K112381,A150204,1
K112381,,12
K112381,A040506,19
K112381,A040103,2
K112381,A180104,1
K112381,A040505,2
K112381,A150208,2
K112381,A04,1
K112381,A0510,2
K112381,A1401,1
K112381,A0408,1
K112381,A0413,2
K112381,A150207,1
K112381,A0406,1
K112381,A0401,1
K143480,A0402,28
K143480,A1401,18
K143480,A24,16
K143480,A23,2
K143480,A0501,8
K143480,A0504,4
K970159,A0413,1
K970159,A040101,1
K112686,A0504,10
K112686,,11
K112686,A1406,4
K112686,A010103,1
K112686,A0402,1
K112686,A1203,1
K925640,A040607,3
K925640,A140902,9
K925640,A041001,24
K925640,A24,9
K925640,A1406,10
K925640,,69
K925640,A0504,8
K925640,A0709,2
K925640,A23,5
K925640,A051101,2
K925640,A070908,8
K925640,A0411,3
K925640,A140509,1
K925640,A1401,3
K925640,A0710,1
K925640,A150207,6
K925640,A090811,2
K925640,A141102,3
K925640,A1408,4
K925640,A0204,2
K925640,A090803,4
K925640,A090801,1
K925640,A26,3
K925640,E2401,3
K925640,F24,3
K925640,A0401,2
K925640,A0413,3
K925640,A070911,1
K925640,A0410,1
K925640,A1205,1
K925640,A040102,1
K925640,A0101,1
K925640,A1409,4
K925640,A1801,1
K925640,A1301,2
K925640,A160102,1
K925640,A1906,1
K925640,A0721,2
K925640,A0907,1
K925640,A1502,1
K925640,A040601,1
K925640,A0722,1
K925640,A090804,1
K062610,A0706,1
K062610,A190501,1
K062610,A1006,1
K062610,A070504,4
K062610,A2305,1
K062610,A0705,1
K062610,,2
K062610,A070603,1
K870236,A0104,21
K870236,,81
K870236,A020102,30
K870236,A051205,3
K882436,A020102,3
K882436,,51
K882436,A05,6
K882436,A0104,3
K882436,A0401,3
K896729,A040607,117
K896729,A020501,13
K896729,A150206,52
K896729,,221
K896729,A1201,13
K896729,A24,26
K896729,A0203,65
K896729,A0101,13
K896729,A04,39
K896729,A0401,13
K896729,A020602,26
K896729,A1205,13
K896729,A26,39
K896729,E2401,39
K896729,F24,39
K896729,A0406,26
K052413,A24,2
K052413,,3
K052413,A0510,5
K052413,A150201,1
K052413,A090201,3
K052413,A180102,1
K851958,A0501,3
K851958,A0710,7
K851958,A2304,5
K851958,A0401,1
K851958,A040609,1
K851958,A050702,6
K851958,A0510,1
K851958,A0408,1
K111395,A0401,17
K111395,A150205,2
K111395,,5
K111395,A040611,1
K111395,A0413,1
K111395,A04,1
K111395,A150208,6
K111395,A1803,1
K111395,A0506,2
K111395,A040605,1
K111395,A051201,1
K111395,A0902,1
K111395,A0206,2
K111395,A0501,1
K111395,A0510,1
K111395,A090201,1
K122795,A040101,2
K122795,,1
K122795,A150208,9
K122795,A0401,1
K122795,A24,2
K122795,A0502,1
K971461,A0407,2
K971461,A090201,1
K971461,A0404,3
K971461,,1
K082262,A0709,1
K082262,A150202,1
K082262,A2303,1
K993691,,17
K993691,A0401,11
K900263,A040605,6
K900263,A0401,8
K900263,,10
K900263,A0413,6
K900263,A0404,1
K071538,A0401,45
K160235,A040103,1
K160235,A0203,1
K160235,A0401,1
K160235,,1
K033843,A0501,2
K033843,A040101,2
K033843,A040505,1
K033843,A140901,1
K992532,,1
K955839,A040508,1
K955839,A0401,7
K955839,A1802,1
K955839,A150207,2
K955839,A040605,1
K955839,,1
K955839,A180104,1
K122773,A020102,1
K122773,A1502,1
K122773,A1208,1
K122773,A051204,1
K990236,A040103,4
K990236,,15
K990236,A0401,2
K990236,A150206,1
K032777,A0501,3
K032777,A0504,1
K032777,A040103,1
K032777,A24,3
K012128,A150207,1
K011297,,2
K011297,A0401,2
K011297,A05,1
K011297,A0510,4
K011297,A24,1
K120660,A1401,56
K120660,A150206,1
K120660,A0401,4
K120660,A040605,11
K120660,A0412,15
K120660,A040506,1
K120660,,1
K120660,A1406,1
K120660,A0205,1
K120660,A0402,2
K120660,A0404,1
K120660,A041001,1
K152230,A0401,1
K111295,A0412,226
K111295,A150208,46
K111295,,16
K111295,A180104,4
K111295,A0401,10
K111295,A150207,4
K111295,A1401,6
K111295,A0504,4
K111295,A0204,2
K111295,A040605,2
K111295,A0410,2
K111295,A150204,2
K111295,A26,2
K111295,E2401,2
K111295,F24,2
K093286,A0402,26
K093286,A24,28
K093286,A0504,4
K093286,A0401,2
K093286,A1401,4
K093286,,2
K093286,A040101,2
K093286,A1406,4
K070951,,12
K070951,A150208,1
K070951,A0412,6
K070951,A0502,2
K070951,A150207,3
K070951,A1401,3
K070951,A1406,2
K070951,A0501,2
K070951,A0406,2
K070951,A0204,1
K070951,A24,2
K070951,A020501,1
K070951,A0401,2
K931009,A0404,1
K081016,A0401,2
K110598,A0401,19
K110598,A051201,5
K110598,A1205,3
